wavelengths, sensitivities

360, 0.0
370, 0.0
380, 0.0
390, 0.0
400, 0.0
410, 0.0
420, 0.6407203742268224
430, 0.5569566867916582
440, 0.4919622775457997
450, 0.5610363153048183
460, 0.6945387772739315
470, 0.7884175882841631
480, 1.134332187160576
490, 1.619809746252853
500, 1.91539683488674
510, 2.090293038486119
520, 2.2258817641364157
530, 2.340090344369219
540, 2.455972664308457
550, 2.4920525337837023
560, 2.446967271266324
570, 2.335771474229696
580, 2.135576540193431
590, 1.4959335004694823
600, 0.0
610, 0.0
620, 0.0
630, 0.0
640, 0.0
650, 0.0
660, 0.0
670, 0.0
680, 0.0
690, 0.0
700, 0.0
710, 0.0
720, 0.0
730, 0.0
740, 0.0
750, 0.0
760, 0.0

