x, y
402.66850513845844, 0.6723281766146145
411.2186521573136, 0.79981723644811
422.7789196187561, 0.9597452211167321
438.49294512267875, 1.06979276411516
454.8951791722404, 1.0583503667031153
464.2126943843209, 0.9532129125947068
471.3567655521163, 0.8533412671473182
483.4962839088261, 0.6885475609206775
493.4970645399154, 0.5189103168020179
506.6019894518203, 0.4021304998415635
520.1524919754692, 0.3072578341711946
540.3668861687574, 0.24511294966295252
564.6904110218495, 0.21449605367683378
606.2875874522211, 0.18350141047671334
673.9262689149655, 0.1726145420526711
715.171926382572, 0.1857678937607223
759.8089168260638, 0.1872785701707282
791.2963549749741, 0.18390134135671515
