x, y
463.45098039215685, 0.028708133971291863
465.6862745098039, 0.3827751196172249
469.4117647058824, 0.8038277511961722
472.3921568627451, 1.186602870813397
475.37254901960785, 1.5789473684210527
478.3529411764706, 1.9904306220095693
482.8235294117647, 2.4688995215311005
488.7843137254902, 3.215311004784689
496.98039215686276, 4.229665071770334
502.94117647058823, 4.660287081339713
514.1176470588235, 4.918660287081339
523.8039215686275, 5.023923444976076
534.2352941176471, 4.966507177033493
542.4313725490197, 4.861244019138756
555.843137254902, 4.641148325358851
573.7254901960785, 4.344497607655502
599.0588235294118, 3.8851674641148324
623.6470588235294, 3.416267942583732
643.7647058823529, 3.0239234449760763
658.6666666666666, 2.7081339712918657
672.0784313725491, 2.4114832535885165
681.7647058823529, 2.2200956937799043
697.4117647058823, 1.875598086124402
713.8039215686275, 1.5502392344497606
729.4509803921569, 1.263157894736842
744.3529411764706, 0.9473684210526315
757.7647058823529, 0.6698564593301435
